,Buckeye,Freq,Log Freq,Fischer,Freq,Log Freq,Google ,Freq,Log Freq,Switchboard,Freq,Log Freq
bathtub,1,3.54E-06,-12.55169928,21,9.99E-07,-13.81674532,781744,7.63E-07,-14.08634163,1,6.83E-07,-14.19669459
battered,1,3.54E-06,-12.55169928,12,5.71E-07,-14.37636111,959730,9.36E-07,-13.88121696,,,
battery,3,1.06E-05,-11.45308699,62,2.95E-06,-12.73413337,22022689,2.15E-05,-10.74804043,10,6.83E-06,-11.89410949
battle,6,2.12E-05,-10.75993981,212,1.01E-05,-11.50468148,16746466,1.63E-05,-11.02192642,13,8.88E-06,-11.63174523
battles,3,1.06E-05,-11.45308699,51,2.43E-06,-12.92944212,3411787,3.33E-06,-12.61287747,,,
battleship,2,7.08E-06,-11.8585521,8,3.80E-07,-14.78182622,274979,2.68E-07,-15.13117422,,,
bavarians,3,1.06E-05,-11.45308699,,,,522,5.09E-10,-21.39795664,,,
bawling,1,3.54E-06,-12.55169928,7,3.33E-07,-14.91535761,80687,7.87E-08,-16.35729148,,,
bay,1,3.54E-06,-12.55169928,583,2.77E-05,-10.49308057,8608506,8.40E-06,-11.68736289,17,1.16E-05,-11.36348124
be,1484,0.005251703,-5.249202857,106317,0.005056467,-5.287087281,2313339224,0.002257118,-6.09366636,6750,0.004610602,-5.379396802
beach,7,2.48E-05,-10.60578913,1553,7.39E-05,-9.513323934,25866110,2.52E-05,-10.58718005,56,3.83E-05,-10.17134289
beaches,2,7.08E-06,-11.8585521,161,7.66E-06,-11.77986339,5256690,5.13E-06,-12.18061212,6,4.10E-06,-12.40493512
beachhead,1,3.54E-06,-12.55169928,,,,63095,6.16E-08,-16.60322742,,,
beacon,1,3.54E-06,-12.55169928,3,1.43E-07,-15.76265547,938451,9.16E-07,-13.90363831,,,
bean,1,3.54E-06,-12.55169928,66,3.14E-06,-12.67161301,3111593,3.04E-06,-12.70497886,12,8.20E-06,-11.71178794
beans,1,3.54E-06,-12.55169928,232,1.10E-05,-11.41453039,4543180,4.43E-06,-12.32648646,31,2.12E-05,-10.76270738
bear,7,2.48E-05,-10.60578913,201,9.56E-06,-11.55796285,15536594,1.52E-05,-11.09691553,19,1.30E-05,-11.25225561
bearable,1,3.54E-06,-12.55169928,12,5.71E-07,-14.37636111,196876,1.92E-07,-15.46529486,2,1.37E-06,-13.5035474
beard,1,3.54E-06,-12.55169928,25,1.19E-06,-13.64239193,1487535,1.45E-06,-13.44299328,7,4.78E-06,-12.25078444
bearing,2,7.08E-06,-11.8585521,45,2.14E-06,-13.05460527,7819772,7.63E-06,-11.78345827,3,2.05E-06,-13.0980823
bears,5,1.77E-05,-10.94226137,103,4.90E-06,-12.22653877,5911318,5.77E-06,-12.06324485,8,5.46E-06,-12.11725304
beast,2,7.08E-06,-11.8585521,35,1.66E-06,-13.3059197,9708006,9.47E-06,-11.56716277,1,6.83E-07,-14.19669459
beat,19,6.72E-05,-9.607260302,839,3.99E-05,-10.12905705,17413199,1.70E-05,-10.98288519,71,4.85E-05,-9.934014708
beating,3,1.06E-05,-11.45308699,155,7.37E-06,-11.81784264,3995282,3.90E-06,-12.45499951,18,1.23E-05,-11.30632283
beatitudes,1,3.54E-06,-12.55169928,,,,22164,2.16E-08,-17.6493996,,,
beats,3,1.06E-05,-11.45308699,86,4.09E-06,-12.40692046,4004924,3.91E-06,-12.45258907,8,5.46E-06,-12.11725304
beatty's,1,3.54E-06,-12.55169928,,,,,,,,,
beautiful,22,7.79E-05,-9.460656828,1914,9.10E-05,-9.304317185,42101168,4.11E-05,-10.10003819,154,0.00010519,-9.159741983
beauty,3,1.06E-05,-11.45308699,157,7.47E-06,-11.80502195,20032098,1.95E-05,-10.84277778,8,5.46E-06,-12.11725304
beaver,1,3.54E-06,-12.55169928,30,1.43E-06,-13.46007038,3994220,3.90E-06,-12.45526536,3,2.05E-06,-13.0980823
became,20,7.08E-05,-9.555967008,893,4.25E-05,-10.06668118,36054162,3.52E-05,-10.25509136,61,4.17E-05,-10.08582072
because,1438,0.005088914,-5.280690743,69046,0.003283847,-5.718739529,236192636,0.000230452,-8.375465945,4240,0.002896141,-5.844376037
become,34,0.000120322,-9.025338756,2421,0.000115143,-9.0693318,89346187,8.72E-05,-9.347595105,142,9.70E-05,-9.240867528
becomes,10,3.54E-05,-10.24911419,753,3.58E-05,-10.23720253,26426231,2.58E-05,-10.56575656,53,3.62E-05,-10.22640267
becoming,7,2.48E-05,-10.60578913,560,2.66E-05,-10.53333097,19581465,1.91E-05,-10.86553022,57,3.89E-05,-10.15364332
bed,30,0.000106167,-9.150501899,1108,5.27E-05,-9.85095589,33891859,3.31E-05,-10.31693883,84,5.74E-05,-9.765877787
bedroom,6,2.12E-05,-10.75993981,467,2.22E-05,-10.7149385,16211097,1.58E-05,-11.05441766,85,5.81E-05,-9.754043329
beds,3,1.06E-05,-11.45308699,56,2.66E-06,-12.83591607,9975074,9.73E-06,-11.54002429,24,1.64E-05,-11.01864076
bee,2,7.08E-06,-11.8585521,45,2.14E-06,-13.05460527,2469538,2.41E-06,-12.93608258,2,1.37E-06,-13.5035474
beechwold,1,3.54E-06,-12.55169928,,,,,,,,,
beef,1,3.54E-06,-12.55169928,245,1.17E-05,-11.36000955,6285032,6.13E-06,-12.00194274,28,1.91E-05,-10.86449008
been,560,0.001981775,-6.223762497,36621,0.001741705,-6.352890632,567141999,0.000553359,-7.49950396,3054,0.002086041,-6.1724871
beep,1,3.54E-06,-12.55169928,270,1.28E-05,-11.2628458,782358,7.63E-07,-14.08555651,5,3.42E-06,-12.58725667
beeper,1,3.54E-06,-12.55169928,15,7.13E-07,-14.15321756,128226,1.25E-07,-15.89407462,3,2.05E-06,-13.0980823
beer,11,3.89E-05,-10.15380401,540,2.57E-05,-10.56969862,11156955,1.09E-05,-11.4280506,36,2.46E-05,-10.61317565
beethoven,2,7.08E-06,-11.8585521,8,3.80E-07,-14.78182622,113715,1.11E-07,-16.01417363,2,1.37E-06,-13.5035474
beethoven's,1,3.54E-06,-12.55169928,1,4.76E-08,-16.86126776,,,,1,6.83E-07,-14.19669459
before,177,0.000626382,-7.375549548,13491,0.000641636,-7.351489681,242472221,0.000236579,-8.34922652,903,0.000616796,-7.390972032
began,2,7.08E-06,-11.8585521,124,5.90E-06,-12.04098619,37687431,3.68E-05,-10.21078703,20,1.37E-05,-11.20096231
beggars,1,3.54E-06,-12.55169928,5,2.38E-07,-15.25182984,301803,2.94E-07,-15.03809446,,,
begging,6,2.12E-05,-10.75993981,59,2.81E-06,-12.78373031,1327374,1.30E-06,-13.55691112,3,2.05E-06,-13.0980823
begin,10,3.54E-05,-10.24911419,649,3.09E-05,-10.38583504,36541929,3.57E-05,-10.24165333,53,3.62E-05,-10.22640267
beginning,18,6.37E-05,-9.661327523,1402,6.67E-05,-9.615612689,40223078,3.92E-05,-10.14567276,82,5.60E-05,-9.789975338
begins,2,7.08E-06,-11.8585521,60,2.85E-06,-12.76692319,18295395,1.79E-05,-10.93346428,6,4.10E-06,-12.40493512
begun,1,3.54E-06,-12.55169928,29,1.38E-06,-13.49397193,8302990,8.10E-06,-11.72349798,5,3.42E-06,-12.58725667
behalf,1,3.54E-06,-12.55169928,36,1.71E-06,-13.27774882,19821655,1.93E-05,-10.85333864,,,
behave,2,7.08E-06,-11.8585521,124,5.90E-06,-12.04098619,3034431,2.96E-06,-12.73008974,10,6.83E-06,-11.89410949
behaved,4,1.42E-05,-11.16540492,70,3.33E-06,-12.61277251,1093507,1.07E-06,-13.75072371,2,1.37E-06,-13.5035474
behaves,2,7.08E-06,-11.8585521,9,4.28E-07,-14.66404318,882674,8.61E-07,-13.96491301,,,
behavior,13,4.60E-05,-9.986749924,294,1.40E-05,-11.17768799,25412008,2.48E-05,-10.60489185,19,1.30E-05,-11.25225561
behavioral,1,3.54E-06,-12.55169928,38,1.81E-06,-13.2236816,3995663,3.90E-06,-12.45490415,6,4.10E-06,-12.40493512
behemoth,1,3.54E-06,-12.55169928,1,4.76E-08,-16.86126776,247416,2.41E-07,-15.23679782,,,
behind,23,8.14E-05,-9.416205065,1802,8.57E-05,-9.364615319,45159303,4.41E-05,-10.02991737,102,6.97E-05,-9.571721772
behold,1,3.54E-06,-12.55169928,24,1.14E-06,-13.68321393,1750485,1.71E-06,-13.28022078,1,6.83E-07,-14.19669459
being,259,0.000916571,-6.994871219,13747,0.000653811,-7.332691859,228376468,0.000222826,-8.409118228,901,0.00061543,-7.393189328
beings,2,7.08E-06,-11.8585521,131,6.23E-06,-11.98607043,5704822,5.57E-06,-12.09880189,6,4.10E-06,-12.40493512
belgium,7,2.48E-05,-10.60578913,37,1.76E-06,-13.25034984,590121,5.76E-07,-14.36754135,,,
belief,9,3.18E-05,-10.3544747,255,1.21E-05,-11.32000421,10904231,1.06E-05,-11.45096279,7,4.78E-06,-12.25078444
beliefs,14,4.95E-05,-9.912641951,319,1.52E-05,-11.09607665,7516550,7.33E-06,-11.82300642,12,8.20E-06,-11.71178794
believe,149,0.000527294,-7.547752975,7844,0.000373063,-7.89376357,71132619,6.94E-05,-9.575567663,520,0.000355187,-7.942865774
believed,4,1.42E-05,-11.16540492,179,8.51E-06,-11.67388195,13654776,1.33E-05,-11.22602432,11,7.51E-06,-11.79879931
believer,3,1.06E-05,-11.45308699,95,4.52E-06,-12.30739087,1544719,1.51E-06,-13.40527165,5,3.42E-06,-12.58725667
believes,10,3.54E-05,-10.24911419,107,5.09E-06,-12.18843892,12337920,1.20E-05,-11.32743622,8,5.46E-06,-12.11725304
believing,7,2.48E-05,-10.60578913,82,3.90E-06,-12.45454851,2924716,2.85E-06,-12.76691629,4,2.73E-06,-12.81040022
bell,5,1.77E-05,-10.94226137,225,1.07E-05,-11.44516735,5874304,5.73E-06,-12.06952609,34,2.32E-05,-10.67033406
bellbottoms,1,3.54E-06,-12.55169928,,,,8988,8.77E-09,-18.5519786,,,
belligerent,1,3.54E-06,-12.55169928,14,6.66E-07,-14.22221043,251432,2.45E-07,-15.22069637,,,
bells,1,3.54E-06,-12.55169928,30,1.43E-06,-13.46007038,2253273,2.20E-06,-13.02772985,,,
belly,1,3.54E-06,-12.55169928,112,5.33E-06,-12.14276889,4319005,4.21E-06,-12.37708862,2,1.37E-06,-13.5035474
belong,4,1.42E-05,-11.16540492,379,1.80E-05,-10.92373155,8461861,8.26E-06,-11.70454455,39,2.66E-05,-10.53313294
below,5,1.77E-05,-10.94226137,363,1.73E-05,-10.96686492,128007517,0.000124897,-8.988024682,21,1.43E-05,-11.15217215
belt,1,3.54E-06,-12.55169928,197,9.37E-06,-11.57806403,8413834,8.21E-06,-11.71023642,34,2.32E-05,-10.67033406
bench,2,7.08E-06,-11.8585521,99,4.71E-06,-12.26614791,4818370,4.70E-06,-12.26767797,9,6.15E-06,-11.99947001
benchmarks,1,3.54E-06,-12.55169928,1,4.76E-08,-16.86126776,2142279,2.09E-06,-13.07824346,,,
bend,1,3.54E-06,-12.55169928,115,5.47E-06,-12.11633563,2895600,2.83E-06,-12.77692133,16,1.09E-05,-11.42410586
beneficial,1,3.54E-06,-12.55169928,167,7.94E-06,-11.74327394,6354311,6.20E-06,-11.99098019,19,1.30E-05,-11.25225561
benefit,4,1.42E-05,-11.16540492,629,2.99E-05,-10.4171365,40288070,3.93E-05,-10.14405828,100,6.83E-05,-9.591524399
benefited,1,3.54E-06,-12.55169928,39,1.85E-06,-13.19770611,1926490,1.88E-06,-13.18441398,4,2.73E-06,-12.81040022
benefits,3,1.06E-05,-11.45308699,786,3.74E-05,-10.19431096,53454063,5.22E-05,-9.861291022,192,0.000131146,-8.939199213
berlin,1,3.54E-06,-12.55169928,19,9.04E-07,-13.91682878,2195196,2.14E-06,-13.05384233,1,6.83E-07,-14.19669459
bernice,6,2.12E-05,-10.75993981,13,6.18E-07,-14.2963184,14722,1.44E-08,-18.05852598,,,
bernie,1,3.54E-06,-12.55169928,44,2.09E-06,-13.07707812,68367,6.67E-08,-16.5229787,,,
berth,1,3.54E-06,-12.55169928,1,4.76E-08,-16.86126776,803625,7.84E-07,-14.05873621,,,
beside,8,2.83E-05,-10.47225774,157,7.47E-06,-11.80502195,4904686,4.79E-06,-12.2499226,5,3.42E-06,-12.58725667
besides,9,3.18E-05,-10.3544747,940,4.47E-05,-10.01538788,5513858,5.38E-06,-12.13284911,72,4.92E-05,-9.920028466
best,85,0.000300805,-8.109048025,8774,0.000417294,-7.781719675,232776352,0.000227119,-8.390035541,397,0.000271172,-8.212758305
bet,21,7.43E-05,-9.507176843,1808,8.60E-05,-9.361291216,11558150,1.13E-05,-11.39272286,238,0.000162566,-8.724423912
beth's,1,3.54E-06,-12.55169928,3,1.43E-07,-15.76265547,,,,,,
bethel,7,2.48E-05,-10.60578913,,,,46216,4.51E-08,-16.91454289,,,
betrayal,1,3.54E-06,-12.55169928,9,4.28E-07,-14.66404318,794113,7.75E-07,-14.07064318,,,
betrayed,2,7.08E-06,-11.8585521,17,8.09E-07,-14.02805441,963606,9.40E-07,-13.87718645,,,
bets,1,3.54E-06,-12.55169928,23,1.09E-06,-13.72577354,2044817,2.00E-06,-13.12480537,1,6.83E-07,-14.19669459
better,200,0.000707777,-7.253381915,10605,0.000504377,-7.59218689,136595914,0.000133276,-8.923086637,815,0.000556688,-7.493506472
betty,2,7.08E-06,-11.8585521,74,3.52E-06,-12.55720266,352768,3.44E-07,-14.88205833,3,2.05E-06,-13.0980823
between,43,0.000152172,-8.790499165,3570,0.00016979,-8.680946882,241935375,0.000236056,-8.351443026,289,0.000197402,-8.530267897
beulah,1,3.54E-06,-12.55169928,2,9.51E-08,-16.16812058,21588,2.11E-08,-17.67573135,,,
beverly,2,7.08E-06,-11.8585521,78,3.71E-06,-12.50455893,411690,4.02E-07,-14.72759831,3,2.05E-06,-13.0980823
bexley,2,7.08E-06,-11.8585521,,,,22009,2.15E-08,-17.65641749,,,
beyond,7,2.48E-05,-10.60578913,533,2.53E-05,-10.58274633,33037633,3.22E-05,-10.34246637,59,4.03E-05,-10.11915714
biased,2,7.08E-06,-11.8585521,195,9.27E-06,-11.5882682,2333846,2.28E-06,-12.99259612,16,1.09E-05,-11.42410586
bible,15,5.31E-05,-9.84364908,510,2.43E-05,-10.62685703,3557133,3.47E-06,-12.57115879,41,2.80E-05,-10.48312252
bibles,1,3.54E-06,-12.55169928,9,4.28E-07,-14.66404318,338104,3.30E-07,-14.92451541,,,
bibliography,1,3.54E-06,-12.55169928,4,1.90E-07,-15.4749734,2925350,2.85E-06,-12.76669954,,,
bidding,2,7.08E-06,-11.8585521,25,1.19E-06,-13.64239193,12523687,1.22E-05,-11.31249186,1,6.83E-07,-14.19669459
biff,1,3.54E-06,-12.55169928,,,,66667,6.50E-08,-16.54815887,,,
big,232,0.000821021,-7.104961909,18512,0.000880436,-7.035093307,132694130,0.000129469,-8.952066966,1307,0.000892749,-7.021204872
bigger,23,8.14E-05,-9.416205065,1352,6.43E-05,-9.6519275,11328595,1.11E-05,-11.41278361,114,7.79E-05,-9.460496137
biggest,22,7.79E-05,-9.460656828,1302,6.19E-05,-9.689610934,17453846,1.70E-05,-10.98055365,124,8.47E-05,-9.37641302
biggin,1,3.54E-06,-12.55169928,,,,6025,5.88E-09,-18.95195147,,,
bigot,1,3.54E-06,-12.55169928,5,2.38E-07,-15.25182984,185551,1.81E-07,-15.52453917,,,
bigoted,1,3.54E-06,-12.55169928,10,4.76E-07,-14.55868266,198577,1.94E-07,-15.45669202,1,6.83E-07,-14.19669459
bike,1,3.54E-06,-12.55169928,1031,4.90E-05,-9.922983273,12287270,1.20E-05,-11.3315499,72,4.92E-05,-9.920028466
bikes,3,1.06E-05,-11.45308699,194,9.23E-06,-11.5934096,4304077,4.20E-06,-12.38055096,7,4.78E-06,-12.25078444
bill,12,4.25E-05,-10.06679263,1060,5.04E-05,-9.89524357,31176143,3.04E-05,-10.40046052,114,7.79E-05,-9.460496137
billing,1,3.54E-06,-12.55169928,25,1.19E-06,-13.64239193,7435414,7.25E-06,-11.83385941,,,
bills,6,2.12E-05,-10.75993981,698,3.32E-05,-10.31304865,9852608,9.61E-06,-11.55237748,90,6.15E-05,-9.696884915
bing,2,7.08E-06,-11.8585521,19,9.04E-07,-13.91682878,183710,1.79E-07,-15.53451052,,,
binge,1,3.54E-06,-12.55169928,13,6.18E-07,-14.2963184,595735,5.81E-07,-14.35807301,3,2.05E-06,-13.0980823
bingo,1,3.54E-06,-12.55169928,104,4.95E-06,-12.21687686,4474225,4.37E-06,-12.34178052,9,6.15E-06,-11.99947001
biochemistry,1,3.54E-06,-12.55169928,9,4.28E-07,-14.66404318,874634,8.53E-07,-13.97406344,,,
bioinformatics,1,3.54E-06,-12.55169928,,,,559248,5.46E-07,-14.42127593,,,
biological,3,1.06E-05,-11.45308699,399,1.90E-05,-10.87230634,11305341,1.10E-05,-11.4148384,3,2.05E-06,-13.0980823
biology,3,1.06E-05,-11.45308699,131,6.23E-06,-11.98607043,6824072,6.66E-06,-11.91965731,8,5.46E-06,-12.11725304
bipolar,2,7.08E-06,-11.8585521,15,7.13E-07,-14.15321756,1326476,1.29E-06,-13.55758787,,,
biracial,1,3.54E-06,-12.55169928,8,3.80E-07,-14.78182622,78173,7.63E-08,-16.38894463,,,
birmingham,1,3.54E-06,-12.55169928,66,3.14E-06,-12.67161301,610058,5.95E-07,-14.33431492,3,2.05E-06,-13.0980823
birth,13,4.60E-05,-9.986749924,276,1.31E-05,-11.24086689,20765248,2.03E-05,-10.80683285,14,9.56E-06,-11.55763726
birthday,5,1.77E-05,-10.94226137,768,3.65E-05,-10.21747802,13172804,1.29E-05,-11.26195927,26,1.78E-05,-10.93859805
bishop,2,7.08E-06,-11.8585521,6,2.85E-07,-15.06950829,1865038,1.82E-06,-13.21683224,,,
bit,134,0.00047421,-7.653859481,11115,0.000528633,-7.54521693,73679301,7.19E-05,-9.540391766,1035,0.000706959,-7.25453788
bitch,3,1.06E-05,-11.45308699,107,5.09E-06,-12.18843892,4999219,4.88E-06,-12.23083197,1,6.83E-07,-14.19669459
bitching,3,1.06E-05,-11.45308699,23,1.09E-06,-13.72577354,336829,3.29E-07,-14.92829357,,,
bite,1,3.54E-06,-12.55169928,312,1.48E-05,-11.11826457,4352265,4.25E-06,-12.36941727,21,1.43E-05,-11.15217215
biting,1,3.54E-06,-12.55169928,63,3.00E-06,-12.71813303,1296602,1.27E-06,-13.58036667,4,2.73E-06,-12.81040022
bitter,2,7.08E-06,-11.8585521,106,5.04E-06,-12.19782866,3551790,3.47E-06,-12.57266197,3,2.05E-06,-13.0980823
bitterness,2,7.08E-06,-11.8585521,16,7.61E-07,-14.08867903,735346,7.17E-07,-14.14752781,1,6.83E-07,-14.19669459
bizarre,6,2.12E-05,-10.75993981,367,1.75E-05,-10.95590591,5357612,5.23E-06,-12.16159532,8,5.46E-06,-12.11725304
black,68,0.000240644,-8.332191576,2246,0.00010682,-9.144361622,105074623,0.000102521,-9.185442878,118,8.06E-05,-9.426009961
blackout,1,3.54E-06,-12.55169928,126,5.99E-06,-12.02498585,562769,5.49E-07,-14.41499971,,,
blacks,12,4.25E-05,-10.06679263,158,7.51E-06,-11.79867272,3583014,3.50E-06,-12.56390933,15,1.02E-05,-11.48864438
blacksmiths,1,3.54E-06,-12.55169928,,,,96383,9.40E-08,-16.17953911,,,
blah,46,0.000162789,-8.723057885,1117,5.31E-05,-9.842865958,4048653,3.95E-06,-12.44172944,4,2.73E-06,-12.81040022
blame,13,4.60E-05,-9.986749924,607,2.89E-05,-10.45273897,6851040,6.68E-06,-11.91571321,45,3.07E-05,-10.3900321
blank,3,1.06E-05,-11.45308699,116,5.52E-06,-12.10767757,11005697,1.07E-05,-11.44170062,17,1.16E-05,-11.36348124
blanked,1,3.54E-06,-12.55169928,3,1.43E-07,-15.76265547,134665,1.31E-07,-15.84507874,,,
blanket,2,7.08E-06,-11.8585521,85,4.04E-06,-12.4186165,3082856,3.01E-06,-12.71425723,11,7.51E-06,-11.79879931
blasting,1,3.54E-06,-12.55169928,12,5.71E-07,-14.37636111,930213,9.08E-07,-13.91245536,,,
blatant,1,3.54E-06,-12.55169928,35,1.66E-06,-13.3059197,874976,8.54E-07,-13.97367249,2,1.37E-06,-13.5035474
bleach,1,3.54E-06,-12.55169928,9,4.28E-07,-14.66404318,803674,7.84E-07,-14.05867524,,,
bleeding,2,7.08E-06,-11.8585521,33,1.57E-06,-13.3647602,4115678,4.02E-06,-12.42531009,6,4.10E-06,-12.40493512
blended,1,3.54E-06,-12.55169928,31,1.47E-06,-13.42728055,1902731,1.86E-06,-13.19682345,1,6.83E-07,-14.19669459
blessed,1,3.54E-06,-12.55169928,195,9.27E-06,-11.5882682,4085246,3.99E-06,-12.43273172,5,3.42E-06,-12.58725667
blessing,4,1.42E-05,-11.16540492,126,5.99E-06,-12.02498585,2919306,2.85E-06,-12.76876775,5,3.42E-06,-12.58725667
blew,5,1.77E-05,-10.94226137,223,1.06E-05,-11.45409599,2278406,2.22E-06,-13.0166376,13,8.88E-06,-11.63174523
blind,5,1.77E-05,-10.94226137,416,1.98E-05,-10.8305825,10141297,9.89E-06,-11.52349777,6,4.10E-06,-12.40493512
blinded,1,3.54E-06,-12.55169928,9,4.28E-07,-14.66404318,766874,7.48E-07,-14.10554644,2,1.37E-06,-13.5035474
blindness,2,7.08E-06,-11.8585521,2,9.51E-08,-16.16812058,1338936,1.31E-06,-13.5482384,,,
blink,1,3.54E-06,-12.55169928,30,1.43E-06,-13.46007038,2859019,2.79E-06,-12.78963511,4,2.73E-06,-12.81040022
blisters,1,3.54E-06,-12.55169928,3,1.43E-07,-15.76265547,439937,4.29E-07,-14.66123742,2,1.37E-06,-13.5035474
block,8,2.83E-05,-10.47225774,530,2.52E-05,-10.58839075,31087795,3.03E-05,-10.40329837,37,2.53E-05,-10.58577667
blocked,2,7.08E-06,-11.8585521,87,4.14E-06,-12.39535964,5317019,5.19E-06,-12.16920086,,,
blocks,6,2.12E-05,-10.75993981,399,1.90E-05,-10.87230634,14258247,1.39E-05,-11.1827782,22,1.50E-05,-11.10565213
blond,2,7.08E-06,-11.8585521,87,4.14E-06,-12.39535964,1939347,1.89E-06,-13.17776235,,,
blonde,1,3.54E-06,-12.55169928,229,1.09E-05,-11.42754575,14641294,1.43E-05,-11.15626778,9,6.15E-06,-11.99947001
blood,8,2.83E-05,-10.47225774,990,4.71E-05,-9.963562814,42997285,4.20E-05,-10.0789767,38,2.60E-05,-10.55910843
bloodpressure,2,7.08E-06,-11.8585521,,,,7251,7.07E-09,-18.76672956,,,
bloods,1,3.54E-06,-12.55169928,6,2.85E-07,-15.06950829,92715,9.05E-08,-16.21833868,,,
bloody,1,3.54E-06,-12.55169928,53,2.52E-06,-12.89097584,3635747,3.55E-06,-12.54929908,1,6.83E-07,-14.19669459
bloomington,2,7.08E-06,-11.8585521,25,1.19E-06,-13.64239193,77133,7.53E-08,-16.40233775,,,
blouse,1,3.54E-06,-12.55169928,6,2.85E-07,-15.06950829,814579,7.95E-07,-14.04519753,4,2.73E-06,-12.81040022
blow,4,1.42E-05,-11.16540492,660,3.14E-05,-10.36902792,26095606,2.55E-05,-10.57834672,43,2.94E-05,-10.43549447
blowed,1,3.54E-06,-12.55169928,11,5.23E-07,-14.46337248,34640,3.38E-08,-17.20285987,,,
blowing,1,3.54E-06,-12.55169928,246,1.17E-05,-11.35593622,4864185,4.75E-06,-12.25821449,21,1.43E-05,-11.15217215
blown,1,3.54E-06,-12.55169928,216,1.03E-05,-11.48598935,3522709,3.44E-06,-12.58088338,16,1.09E-05,-11.42410586
blows,3,1.06E-05,-11.45308699,141,6.71E-06,-11.91250787,2094316,2.04E-06,-13.10088666,14,9.56E-06,-11.55763726
blue,7,2.48E-05,-10.60578913,582,2.77E-05,-10.49479731,38733069,3.78E-05,-10.18341994,76,5.19E-05,-9.865961245
blunt,1,3.54E-06,-12.55169928,19,9.04E-07,-13.91682878,1977871,1.93E-06,-13.15809266,1,6.83E-07,-14.19669459
bo,1,3.54E-06,-12.55169928,64,3.04E-06,-12.70238467,1266450,1.24E-06,-13.60389596,,,
board,21,7.43E-05,-9.507176843,1081,5.14E-05,-9.875625939,69999055,6.83E-05,-9.591631929,55,3.76E-05,-10.1893614
boards,1,3.54E-06,-12.55169928,207,9.84E-06,-11.52854896,17114374,1.67E-05,-11.00019498,10,6.83E-06,-11.89410949
boat,7,2.48E-05,-10.60578913,489,2.33E-05,-10.66890527,20142911,1.97E-05,-10.83726126,89,6.08E-05,-9.708058216
boatload,1,3.54E-06,-12.55169928,3,1.43E-07,-15.76265547,85676,8.36E-08,-16.29729621,,,
bob,2,7.08E-06,-11.8585521,348,1.66E-05,-11.00906528,4513067,4.40E-06,-12.3331367,19,1.30E-05,-11.25225561
bobby,1,3.54E-06,-12.55169928,78,3.71E-06,-12.50455893,439633,4.29E-07,-14.66192866,7,4.78E-06,-12.25078444
bobby's,1,3.54E-06,-12.55169928,4,1.90E-07,-15.4749734,,,,,,
bodies,5,1.77E-05,-10.94226137,229,1.09E-05,-11.42754575,16489147,1.61E-05,-11.03741126,7,4.78E-06,-12.25078444
body,17,6.02E-05,-9.718485937,1750,8.32E-05,-9.39389669,91645484,8.94E-05,-9.322185973,68,4.64E-05,-9.97718688
body's,1,3.54E-06,-12.55169928,91,4.33E-06,-12.35040825,,,,1,6.83E-07,-14.19669459
boggles,1,3.54E-06,-12.55169928,22,1.05E-06,-13.7702253,119827,1.17E-07,-15.96181991,2,1.37E-06,-13.5035474
boil,1,3.54E-06,-12.55169928,78,3.71E-06,-12.50455893,1907583,1.86E-06,-13.19427668,8,5.46E-06,-12.11725304
boils,1,3.54E-06,-12.55169928,114,5.42E-06,-12.12506931,643199,6.28E-07,-14.28141479,3,2.05E-06,-13.0980823
bomb,4,1.42E-05,-11.16540492,908,4.32E-05,-10.05002338,6574926,6.42E-06,-11.95685035,9,6.15E-06,-11.99947001
bombarded,1,3.54E-06,-12.55169928,46,2.19E-06,-13.03262636,424175,4.14E-07,-14.69772284,6,4.10E-06,-12.40493512
bombings,1,3.54E-06,-12.55169928,123,5.85E-06,-12.0490834,1593882,1.56E-06,-13.37394112,1,6.83E-07,-14.19669459
bombs,6,2.12E-05,-10.75993981,420,2.00E-05,-10.82101305,3064246,2.99E-06,-12.72031214,6,4.10E-06,-12.40493512
bon,1,3.54E-06,-12.55169928,9,4.28E-07,-14.66404318,2281034,2.23E-06,-13.01548482,2,1.37E-06,-13.5035474
bonding,1,3.54E-06,-12.55169928,54,2.57E-06,-12.87228371,2081684,2.03E-06,-13.10693649,9,6.15E-06,-11.99947001
bone,2,7.08E-06,-11.8585521,166,7.90E-06,-11.74927997,10559731,1.03E-05,-11.48306587,6,4.10E-06,-12.40493512
bonfires,1,3.54E-06,-12.55169928,7,3.33E-07,-14.91535761,102254,9.98E-08,-16.12040904,,,
bono,1,3.54E-06,-12.55169928,6,2.85E-07,-15.06950829,508312,4.96E-07,-14.51677352,,,
bons,1,3.54E-06,-12.55169928,2,9.51E-08,-16.16812058,119187,1.16E-07,-15.96717526,,,
bonus,4,1.42E-05,-11.16540492,120,5.71E-06,-12.07377601,14902373,1.45E-05,-11.13859321,17,1.16E-05,-11.36348124
book,34,0.000120322,-9.025338756,3536,0.000168173,-8.690516333,164065044,0.000160078,-8.739850712,284,0.000193987,-8.547720347
bookcase,1,3.54E-06,-12.55169928,3,1.43E-07,-15.76265547,354522,3.46E-07,-14.87709855,1,6.83E-07,-14.19669459
bookcases,1,3.54E-06,-12.55169928,9,4.28E-07,-14.66404318,190679,1.86E-07,-15.49727756,,,
booked,2,7.08E-06,-11.8585521,35,1.66E-06,-13.3059197,3472300,3.39E-06,-12.59529647,4,2.73E-06,-12.81040022
